City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
97,Kodiak,US,2021-01-12 21:56:44,57.79,-152.4072,35.73,90,100,8.9
98,Krasnoborsk,RU,2021-01-12 21:57:13,61.5598,45.934,-14.82,88,79,3.65
99,Bonavista,CA,2021-01-12 21:57:13,48.6499,-53.1147,30.0,80,98,2.3
100,Mataura,NZ,2021-01-12 21:57:13,-46.1927,168.8643,71.13,52,90,1.99
101,Butaritari,KI,2021-01-12 21:57:13,3.0707,172.7902,81.64,79,99,19.75
102,Jati,PK,2021-01-12 21:57:13,24.3539,68.2671,54.72,31,0,4.34
103,San Patricio,US,2021-01-12 21:57:13,28.017,-97.5169,45.0,70,90,8.05
104,Kholodnyy,RU,2021-01-12 21:57:14,62.7167,147.95,-27.0,83,85,1.01
105,Georgetown,MY,2021-01-12 21:56:41,5.4112,100.3354,75.2,78,20,6.42
106,Qaanaaq,GL,2021-01-12 21:57:14,77.484,-69.3632,12.38,82,99,9.89
107,Mount Pleasant,US,2021-01-12 21:52:57,32.7941,-79.8626,52.0,87,90,8.81
108,Grindavik,IS,2021-01-12 21:57:14,63.8424,-22.4338,39.2,81,90,35.68
109,Tasgaon,IN,2021-01-12 21:57:14,17.0333,74.6,72.57,48,45,9.31
110,Conde,BR,2021-01-12 21:57:14,-7.2597,-34.9075,80.6,78,20,9.22
111,Alofi,NU,2021-01-12 21:57:14,-19.0595,-169.9187,86.0,74,75,9.22
112,New Norfolk,AU,2021-01-12 21:57:14,-42.7826,147.0587,66.0,63,13,1.01
113,Arraial Do Cabo,BR,2021-01-12 21:53:35,-22.9661,-42.0278,80.6,73,20,18.41
114,Eyrarbakki,IS,2021-01-12 21:57:14,63.863,-21.1481,36.0,64,90,17.27
115,Aku,NG,2021-01-12 21:57:14,6.7081,7.3167,79.74,48,7,6.2
116,Chipata,ZM,2021-01-12 21:57:14,-13.6333,32.65,66.99,95,100,0.96
117,Jamestown,US,2021-01-12 21:56:31,42.097,-79.2353,28.99,80,90,5.66
118,Fonte Boa,BR,2021-01-12 21:57:16,-2.4959,-66.2662,81.05,84,93,1.63
119,East London,ZA,2021-01-12 21:57:16,-33.0153,27.9116,73.62,88,99,10.78
120,Carnarvon,AU,2021-01-12 21:57:16,-24.8667,113.6333,75.2,78,0,18.41
121,Bethel,US,2021-01-12 21:57:16,41.3712,-73.414,34.0,73,11,1.01
122,Sao Miguel Do Araguaia,BR,2021-01-12 21:57:02,-13.275,-50.1628,78.78,74,100,2.91
123,Troitskoye,RU,2021-01-12 21:57:16,52.9821,84.6757,21.49,97,100,10.42
124,Kandrian,PG,2021-01-12 21:57:16,-6.2167,149.55,81.68,79,98,4.65
125,Livanatai,GR,2021-01-12 21:57:16,38.7167,23.05,50.0,76,14,3.65
126,Ruwi,OM,2021-01-12 21:57:16,23.5996,58.5507,60.8,55,0,3.44
127,Atar,MR,2021-01-12 21:57:16,20.5169,-13.0499,61.03,32,95,10.56
128,Lagoa,PT,2021-01-12 21:57:16,39.05,-27.9833,60.6,90,100,12.15
129,Kapaa,US,2021-01-12 21:57:17,22.0752,-159.319,79.0,73,20,4.61
130,Cape Town,ZA,2021-01-12 21:53:04,-33.9258,18.4232,73.4,64,0,9.22
131,Srednekolymsk,RU,2021-01-12 21:57:17,67.45,153.6833,-37.48,83,92,1.61
132,Codrington,AU,2021-01-12 21:57:17,-38.2667,141.9667,59.36,68,70,9.71
133,Geraldton,AU,2021-01-12 21:57:17,-28.7667,114.6,64.4,82,0,5.75
134,Morondava,MG,2021-01-12 21:55:04,-20.2833,44.2833,83.12,78,71,7.36
135,Cockburn Town,TC,2021-01-12 21:57:17,21.4612,-71.1419,78.8,69,40,11.5
136,Baddomalhi,PK,2021-01-12 21:57:17,31.9928,74.6683,44.6,100,90,2.84
137,Molina,CL,2021-01-12 21:57:17,-35.1167,-71.2833,86.0,21,0,5.75
138,Los Llanos De Aridane,ES,2021-01-12 21:57:17,28.6585,-17.9182,60.8,72,75,10.36
139,Piney Green,US,2021-01-12 21:57:18,34.716,-77.3202,48.2,87,90,6.91
140,Cabedelo,BR,2021-01-12 21:52:41,-6.9811,-34.8339,80.6,78,20,9.22
141,Haines Junction,CA,2021-01-12 21:57:18,60.7522,-137.5108,19.4,86,100,1.14
142,Baruun-Urt,MN,2021-01-12 21:57:18,46.6806,113.2792,-10.89,82,67,11.39
143,Dikson,RU,2021-01-12 21:57:18,73.5069,80.5464,-10.01,90,100,8.32
144,Deep River,CA,2021-01-12 21:57:18,46.1001,-77.4995,35.01,69,90,4.61
145,Victoria,HK,2021-01-12 21:57:18,22.2855,114.1577,53.01,46,0,8.61
146,Te Anau,NZ,2021-01-12 21:57:18,-45.4167,167.7167,65.17,61,95,2.75
147,Ouadda,CF,2021-01-12 21:57:18,8.0777,22.4007,68.31,23,14,6.06
148,Basoko,CD,2021-01-12 21:57:18,1.2391,23.616,78.06,60,78,3.49
149,Brae,GB,2021-01-12 21:57:18,60.3964,-1.353,39.2,75,40,16.11
150,Qurayyat,SA,2021-01-12 21:57:18,31.3318,37.3428,48.2,49,0,9.22
151,Chokurdakh,RU,2021-01-12 21:57:19,70.6333,147.9167,-37.79,83,54,1.9
152,Sao Filipe,CV,2021-01-12 21:57:19,14.8961,-24.4956,70.92,73,5,16.22
153,Port Hardy,CA,2021-01-12 21:57:19,50.6996,-127.4199,46.4,93,75,5.75
154,Port-Gentil,GA,2021-01-12 21:57:19,-0.7193,8.7815,80.6,89,40,10.36
155,Mouila,GA,2021-01-12 21:57:19,-1.8685,11.0559,74.59,93,100,2.77
156,High Level,CA,2021-01-12 21:57:19,58.5169,-117.136,21.2,100,90,3.44
157,Puerto Ayora,EC,2021-01-12 21:57:19,-0.7393,-90.3518,84.2,58,40,18.41
158,Half Moon Bay,US,2021-01-12 21:57:19,37.4636,-122.4286,60.01,77,20,4.61
159,Ambilobe,MG,2021-01-12 21:57:19,-13.2,49.05,74.64,92,26,0.27
160,Yumen,CN,2021-01-12 21:57:19,40.2833,97.2,18.84,65,17,21.23
161,Opuwo,NA,2021-01-12 21:57:19,-18.0607,13.84,69.21,45,100,9.55
162,Alyangula,AU,2021-01-12 21:57:20,-13.8483,136.4192,77.0,100,75,6.49
163,Tessalit,ML,2021-01-12 21:57:20,20.1986,1.0114,65.35,25,95,12.06
164,Faanui,PF,2021-01-12 21:57:20,-16.4833,-151.75,80.85,77,100,18.54
165,Chiman,PK,2021-01-12 21:57:20,32.5463,73.8138,44.6,100,90,4.07
166,Yenagoa,NG,2021-01-12 21:57:20,4.9247,6.2642,76.53,88,0,5.19
167,Atuona,PF,2021-01-12 21:57:20,-9.8,-139.0333,77.52,79,80,16.04
168,Bengkulu,ID,2021-01-12 21:57:20,-3.8004,102.2655,75.45,84,100,6.64
169,Cruz Grande,MX,2021-01-12 21:57:20,16.7333,-99.1333,84.2,61,20,9.22
170,Antofagasta,CL,2021-01-12 21:53:43,-23.65,-70.4,68.0,64,20,14.97
171,Emba,KZ,2021-01-12 21:56:05,48.8264,58.1442,-5.98,88,75,3.49
172,Lucapa,AO,2021-01-12 21:57:21,-8.4192,20.7447,67.03,90,89,3.22
173,Hovd,MN,2021-01-12 21:57:21,48.0056,91.6419,13.39,81,94,3.4
174,Patancheru,IN,2021-01-12 21:57:21,17.5314,78.265,68.0,94,40,4.61
175,Nikolskoye,RU,2021-01-12 21:57:21,59.7035,30.7861,10.4,79,75,20.13
176,Zhigansk,RU,2021-01-12 21:57:21,66.7697,123.3711,-40.83,79,100,11.95
177,Illapel,CL,2021-01-12 21:57:21,-31.6308,-71.1653,76.53,27,0,8.37
178,Vokhtoga,RU,2021-01-12 21:57:22,58.8147,41.0461,-21.68,87,78,3.89
179,Westport,US,2021-01-12 21:57:22,41.1415,-73.3579,39.2,65,1,5.75
180,Vila Velha,BR,2021-01-12 21:52:28,-20.3297,-40.2925,80.6,69,40,11.5
181,Winona,US,2021-01-12 21:57:22,43.9666,-91.7668,37.4,75,1,5.61
182,Bealanana,MG,2021-01-12 21:57:22,-14.55,48.7333,64.96,92,18,0.96
183,Dubovskoye,RU,2021-01-12 21:57:22,47.4092,42.7575,30.18,94,100,15.28
184,Dunedin,NZ,2021-01-12 21:54:44,-45.8742,170.5036,64.17,75,12,4.21
